country,game,medals,host,value
Germany,1906,14,0,-0.5268623024830699
Germany,1908,12,0,-0.6108352144469524
Germany,1912,24,0,-0.10699774266365682
Germany,1920,0,0,-1.1146726862302483
Germany,1924,0,0,-1.1146726862302483
Germany,1928,39,0,0.5227990970654628
Germany,1932,24,0,-0.10699774266365682
Germany,1948,0,0,-1.1146726862302483
Germany,1952,23,0,-0.14898419864559814
Germany,1956,26,0,-0.023024830699774207
Germany,1960,41,0,0.6067720090293454
Germany,1964,49,0,0.9426636568848757
Germany,1968,0,0,-1.1146726862302483
Germany,1972,0,0,-1.1146726862302483
Germany,1976,0,0,-1.1146726862302483
Germany,1980,0,0,-1.1146726862302483
Germany,1984,0,0,-1.1146726862302483
Germany,1988,0,0,-1.1146726862302483
Germany,1992,82,0,2.3282167042889386
Germany,1996,64,0,1.5724604966139952
Germany,2000,55,0,1.1945823927765238
Germany,2004,48,0,0.9006772009029345
Germany,2008,40,0,0.5647855530474041
Germany,2012,43,0,0.6907449209932279
Germany,2016,41,0,0.6067720090293454
Germany,2020,37,0,0.43882618510158017
Germany,2024,33,0,0.270880361173815
Germany,1936,98,1,3.0
Great Britain,1896,7,0,-0.8910521955260977
Great Britain,1900,20,0,-0.3902236951118475
Great Britain,1904,2,0,-1.083678541839271
Great Britain,1906,24,0,-0.23612261806130902
Great Britain,1912,33,0,0.11060480530240266
Great Britain,1920,39,0,0.3417564208782104
Great Britain,1924,32,0,0.07207953603976804
Great Britain,1928,22,0,-0.3131731565865783
Great Britain,1932,16,0,-0.5443247721623861
Great Britain,1936,12,0,-0.6984258492129246
Great Britain,1952,11,0,-0.7369511184755592
Great Britain,1956,21,0,-0.3516984258492129
Great Britain,1960,20,0,-0.3902236951118475
Great Britain,1964,17,0,-0.5057995028997515
Great Britain,1968,13,0,-0.65990057995029
Great Britain,1972,18,0,-0.46727423363711673
Great Britain,1976,13,0,-0.65990057995029
Great Britain,1980,21,0,-0.3516984258492129
Great Britain,1984,37,0,0.2647058823529411
Great Britain,1988,24,0,-0.23612261806130902
Great Britain,1992,20,0,-0.3902236951118475
Great Britain,1996,15,0,-0.5828500414250206
Great Britain,2000,27,0,-0.12054681027340514
Great Britain,2004,29,0,-0.04349627174813587
Great Britain,2008,48,0,0.6884838442419221
Great Britain,2016,67,0,1.4204639602319802
Great Britain,2020,64,0,1.3048881524440763
Great Britain,2024,65,0,1.3434134217067109
Great Britain,1908,108,1,3.0
Great Britain,1948,26,1,-0.15907207953603975
Great Britain,2012,63,1,1.2663628831814417
Greece,1900,0,0,-0.390625
Greece,1904,2,0,-0.22916666666666669
Greece,1908,4,0,-0.06770833333333334
Greece,1912,2,0,-0.22916666666666669
Greece,1920,1,0,-0.30989583333333337
Greece,1924,1,0,-0.30989583333333337
Greece,1928,0,0,-0.390625
Greece,1932,0,0,-0.390625
Greece,1936,0,0,-0.390625
Greece,1948,0,0,-0.390625
Greece,1952,0,0,-0.390625
Greece,1956,1,0,-0.30989583333333337
Greece,1960,0,0,-0.390625
Greece,1964,0,0,-0.390625
Greece,1968,1,0,-0.30989583333333337
Greece,1972,2,0,-0.22916666666666669
Greece,1976,0,0,-0.390625
Greece,1980,3,0,-0.1484375
Greece,1984,2,0,-0.22916666666666669
Greece,1988,1,0,-0.30989583333333337
Greece,1992,2,0,-0.22916666666666669
Greece,1996,8,0,0.2552083333333333
Greece,2000,13,0,0.6588541666666665
Greece,2008,4,0,-0.06770833333333334
Greece,2012,2,0,-0.22916666666666669
Greece,2016,6,0,0.09374999999999997
Greece,2020,4,0,-0.06770833333333334
Greece,2024,8,0,0.2552083333333333
Greece,1896,42,1,3.0
Greece,1906,25,1,1.6276041666666665
Greece,2004,16,1,0.9010416666666666
Italy,1896,0,0,-3.0
Italy,1900,5,0,-2.312130177514793
Italy,1904,0,0,-3.0
Italy,1906,9,0,-1.761834319526627
Italy,1908,4,0,-2.449704142011834
Italy,1912,8,0,-1.8994082840236688
Italy,1920,25,0,0.43934911242603575
Italy,1924,16,0,-0.798816568047337
Italy,1928,20,0,-0.24852071005917137
Italy,1932,36,0,1.9526627218934913
Italy,1936,26,0,0.5769230769230771
Italy,1948,31,0,1.2647928994082842
Italy,1952,20,0,-0.24852071005917137
Italy,1956,24,0,0.30177514792899435
Italy,1964,27,0,0.7144970414201186
Italy,1968,16,0,-0.798816568047337
Italy,1972,18,0,-0.5236686390532543
Italy,1976,13,0,-1.2115384615384615
Italy,1980,15,0,-0.9363905325443784
Italy,1984,32,0,1.4023668639053257
Italy,1988,14,0,-1.07396449704142
Italy,1992,19,0,-0.3860946745562128
Italy,1996,35,0,1.8150887573964498
Italy,2000,34,0,1.6775147928994085
Italy,2004,32,0,1.4023668639053257
Italy,2008,27,0,0.7144970414201186
Italy,2012,28,0,0.8520710059171599
Italy,2016,27,0,0.7144970414201186
Italy,2020,40,0,2.502958579881657
Italy,2024,40,0,2.502958579881657
Italy,1960,35,1,1.8150887573964498
Japan,1896,0,0,-1.284352660841938
Japan,1900,0,0,-1.284352660841938
Japan,1904,0,0,-1.284352660841938
Japan,1906,0,0,-1.284352660841938
Japan,1908,0,0,-1.284352660841938
Japan,1912,0,0,-1.284352660841938
