country,year,medals,iso3,abr,co2_prod,coef_ineq,diff_hdi_phdi,eys,gdi,gdi_group,gii,gii_rank,gnipc,hdi,hdi_f,ihdi,ineq_edu,ineq_inc,ineq_le,le,loss,mf,mmr,mys,phdi,pop_total,GDP (current US$),medals_per_capita,gdp per capita
Czech Republic,2018,7,CZE,10.738,10.09393529,4.883370549,16.98113208,16.12398911,0.98,,0.13,,44425.85799,0.901,0.890044962,0.856,1.38942,9.967373848,3.2933178,78.961,4.99445061,18.7021,3.184148624,12.82999992,0.748,10548937.0,251992000000.0,6.635739695857507e-07,23887.90453483607
Czech Republic,2018,7,CZE,10.738,10.09393529,4.883370549,16.98113208,16.12398911,0.98,,0.13,,44425.85799,0.901,0.890044962,0.856,1.38942,9.967373848,3.2933178,78.961,4.99445061,18.7021,3.184148624,12.82999992,0.748,10548937.0,251992000000.0,6.635739695857507e-07,23887.90453483607
Czech Republic,2018,7,CZE,10.738,10.09393529,4.883370549,16.98113208,16.12398911,0.98,,0.13,,44425.85799,0.901,0.890044962,0.856,1.38942,9.967373848,3.2933178,78.961,4.99445061,18.7021,3.184148624,12.82999992,0.748,10548937.0,251992000000.0,6.635739695857507e-07,23887.90453483607
Czech Republic,2016,8,CZE,11.789,10.13037076,5.369097533,16.18625277,16.78609085,0.983,,0.139,,41100.35722,0.902,0.892705461,0.853,1.31919,11.359375,3.4287276,78.974,5.432372506,17.3626,3.49700704,12.73999977,0.756,10531948.0,198161000000.0,7.595935718634388e-07,18815.227724253862
Czech Republic,2016,8,CZE,11.789,10.13037076,5.369097533,16.18625277,16.78609085,0.983,,0.139,,41100.35722,0.902,0.892705461,0.853,1.31919,11.359375,3.4287276,78.974,5.432372506,17.3626,3.49700704,12.73999977,0.756,10531948.0,198161000000.0,7.595935718634388e-07,18815.227724253862
Czech Republic,2016,8,CZE,11.789,10.13037076,5.369097533,16.18625277,16.78609085,0.983,,0.139,,41100.35722,0.902,0.892705461,0.853,1.31919,11.359375,3.4287276,78.974,5.432372506,17.3626,3.49700704,12.73999977,0.756,10531948.0,198161000000.0,7.595935718634388e-07,18815.227724253862
Czech Republic,2014,7,CZE,12.115,9.911970716,5.307888733,16.25835189,16.96136093,0.982,,0.146,,37873.9134,0.898,0.887293186,0.849,1.33451,11.359375,3.2297812,78.744,5.456570156,17.7037,3.076775567,12.64000034,0.752,10517225.5,210911000000.0,6.655747754006035e-07,20053.863064930956
Czech Republic,2014,7,CZE,12.115,9.911970716,5.307888733,16.25835189,16.96136093,0.982,,0.146,,37873.9134,0.898,0.887293186,0.849,1.33451,11.359375,3.2297812,78.744,5.456570156,17.7037,3.076775567,12.64000034,0.752,10517225.5,210911000000.0,6.655747754006035e-07,20053.863064930956
Czech Republic,2014,7,CZE,12.115,9.911970716,5.307888733,16.25835189,16.96136093,0.982,,0.146,,37873.9134,0.898,0.887293186,0.849,1.33451,11.359375,3.2297812,78.744,5.456570156,17.7037,3.076775567,12.64000034,0.752,10517225.5,210911000000.0,6.655747754006035e-07,20053.863064930956
Czech Republic,2012,2,CZE,12.663,10.58763313,5.370609683,17.28813559,16.35502052,0.977,,0.143,,36514.75257,0.885,0.872391401,0.837,1.3506,11.35868835,3.4025407,77.998,5.423728814,18.7662,3.585791167,12.52000046,0.732,10507335.0,210363000000.0,1.9034322213958154e-07,20020.585619474397
Czech Republic,2012,2,CZE,12.663,10.58763313,5.370609683,17.28813559,16.35502052,0.977,,0.143,,36514.75257,0.885,0.872391401,0.837,1.3506,11.35868835,3.4025407,77.998,5.423728814,18.7662,3.585791167,12.52000046,0.732,10507335.0,210363000000.0,1.9034322213958154e-07,20020.585619474397
Czech Republic,2012,2,CZE,12.663,10.58763313,5.370609683,17.28813559,16.35502052,0.977,,0.143,,36514.75257,0.885,0.872391401,0.837,1.3506,11.35868835,3.4025407,77.998,5.423728814,18.7662,3.585791167,12.52000046,0.732,10507335.0,210363000000.0,1.9034322213958154e-07,20020.585619474397
Czech Republic,2008,8,CZE,11.785,11.8450563,,20.38946163,15.67990017,0.971,,0.155,,38209.23027,0.873,0.857459046,,,,,77.172,,22.913,4.6185433,12.18999958,0.695,10378292.5,236506000000.0,7.708397118312093e-07,22788.527110793995
Czech Republic,2008,8,CZE,11.785,11.8450563,,20.38946163,15.67990017,0.971,,0.155,,38209.23027,0.873,0.857459046,,,,,77.172,,22.913,4.6185433,12.18999958,0.695,10378292.5,236506000000.0,7.708397118312093e-07,22788.527110793995
Czech Republic,2008,8,CZE,11.785,11.8450563,,20.38946163,15.67990017,0.971,,0.155,,38209.23027,0.873,0.857459046,,,,,77.172,,22.913,4.6185433,12.18999958,0.695,10378292.5,236506000000.0,7.708397118312093e-07,22788.527110793995
Czech Republic,2006,4,CZE,10.831,12.27941501,,19.44444444,15.38356018,0.969,,0.152,,35806.84691,0.864,0.84782219,,,,,76.708,,20.686,4.700813201,12.11999989,0.696,10304588.5,156236000000.0,3.88176587546412e-07,15161.789332975306
Czech Republic,2006,4,CZE,10.831,12.27941501,,19.44444444,15.38356018,0.969,,0.152,,35806.84691,0.864,0.84782219,,,,,76.708,,20.686,4.700813201,12.11999989,0.696,10304588.5,156236000000.0,3.88176587546412e-07,15161.789332975306
Czech Republic,2006,4,CZE,10.831,12.27941501,,19.44444444,15.38356018,0.969,,0.152,,35806.84691,0.864,0.84782219,,,,,76.708,,20.686,4.700813201,12.11999989,0.696,10304588.5,156236000000.0,3.88176587546412e-07,15161.789332975306
Czech Republic,2004,8,CZE,11.243,12.50285669,,20.16509434,14.99580002,0.966,,0.154,,33000.35801,0.848,0.831501027,,,,,75.942,,21.6431,5.728300677,11.74266656,0.677,10261449.5,120148000000.0,7.796169537256895e-07,11708.677219529269
Czech Republic,2004,8,CZE,11.243,12.50285669,,20.16509434,14.99580002,0.966,,0.154,,33000.35801,0.848,0.831501027,,,,,75.942,,21.6431,5.728300677,11.74266656,0.677,10261449.5,120148000000.0,7.796169537256895e-07,11708.677219529269
Czech Republic,2004,8,CZE,11.243,12.50285669,,20.16509434,14.99580002,0.966,,0.154,,33000.35801,0.848,0.831501027,,,,,75.942,,21.6431,5.728300677,11.74266656,0.677,10261449.5,120148000000.0,7.796169537256895e-07,11708.677219529269
Czech Republic,2002,5,CZE,11.579,12.10840414,,18.44311377,14.8226099,0.963,,0.164,,30519.66241,0.835,0.817865215,,,,,75.442,,18.9915,6.829476097,11.36533324,0.681,10239468.0,82607869610.0,4.883066190548181e-07,8067.59390331607
Czech Republic,2002,5,CZE,11.579,12.10840414,,18.44311377,14.8226099,0.963,,0.164,,30519.66241,0.835,0.817865215,,,,,75.442,,18.9915,6.829476097,11.36533324,0.681,10239468.0,82607869610.0,4.883066190548181e-07,8067.59390331607
Czech Republic,2002,5,CZE,11.579,12.10840414,,18.44311377,14.8226099,0.963,,0.164,,30519.66241,0.835,0.817865215,,,,,75.442,,18.9915,6.829476097,11.36533324,0.681,10239468.0,82607869610.0,4.883066190548181e-07,8067.59390331607
Czech Republic,1998,4,CZE,17.496,12.24843584,,17.83042394,13.32468033,0.956,,0.198,,27483.56831,0.802,0.782494297,,,,,74.553,,17.676,6.876235871,10.61066659,0.659,10265426.5,67187217328.0,3.896574584602013e-07,6545.00008626042
Czech Republic,1998,4,CZE,17.496,12.24843584,,17.83042394,13.32468033,0.956,,0.198,,27483.56831,0.802,0.782494297,,,,,74.553,,17.676,6.876235871,10.61066659,0.659,10265426.5,67187217328.0,3.896574584602013e-07,6545.00008626042
Czech Republic,1998,4,CZE,17.496,12.24843584,,17.83042394,13.32468033,0.956,,0.198,,27483.56831,0.802,0.782494297,,,,,74.553,,17.676,6.876235871,10.61066659,0.659,10265426.5,67187217328.0,3.896574584602013e-07,6545.00008626042
Czech Republic,1996,10,CZE,21.145,13.11415859,,19.04161412,13.34667969,0.952,,0.215,,26926.0514,0.793,0.771903923,,,,,73.834,,19.0363,8.24481674,10.23333327,0.642,10296128.0,67804105330.0,9.712388967969318e-07,6585.398445901216
Czech Republic,1996,10,CZE,21.145,13.11415859,,19.04161412,13.34667969,0.952,,0.215,,26926.0514,0.793,0.771903923,,,,,73.834,,19.0363,8.24481674,10.23333327,0.642,10296128.0,67804105330.0,9.712388967969318e-07,6585.398445901216
Czech Republic,1996,10,CZE,21.145,13.11415859,,19.04161412,13.34667969,0.952,,0.215,,26926.0514,0.793,0.771903923,,,,,73.834,,19.0363,8.24481674,10.23333327,0.642,10296128.0,67804105330.0,9.712388967969318e-07,6585.398445901216
Czech Republic,2010,5,CZE,12.227,11.22590709,5.07641781,18.06818182,16.21603012,0.975,,0.141,,36382.92471,0.88,0.866440753,0.834,1.29958,10.44708443,3.482589,77.568,5.227272727,19.382,4.260183084,12.39000034,0.721,10464035.5,211169000000.0,4.778271251086639e-07,20180.455236414287
Czech Republic,2010,5,CZE,12.227,11.22590709,5.07641781,18.06818182,16.21603012,0.975,,0.141,,36382.92471,0.88,0.866440753,0.834,1.29958,10.44708443,3.482589,77.568,5.227272727,19.382,4.260183084,12.39000034,0.721,10464035.5,211169000000.0,4.778271251086639e-07,20180.455236414287
Czech Republic,2010,5,CZE,12.227,11.22590709,5.07641781,18.06818182,16.21603012,0.975,,0.141,,36382.92471,0.88,0.866440753,0.834,1.29958,10.44708443,3.482589,77.568,5.227272727,19.382,4.260183084,12.39000034,0.721,10464035.5,211169000000.0,4.778271251086639e-07,20180.455236414287
Czech Republic,2000,7,CZE,13.525,12.43182269,,18.35985312,14.02147961,0.958,,0.178,,28476.66797,0.817,0.798253885,,,,,74.978,,18.4817,8.028287983,10.98799992,0.667,10236804.0,62175642238.0,6.838071726292699e-07,6073.735732167969
Czech Republic,2000,7,CZE,13.525,12.43182269,,18.35985312,14.02147961,0.958,,0.178,,28476.66797,0.817,0.798253885,,,,,74.978,,18.4817,8.028287983,10.98799992,0.667,10236804.0,62175642238.0,6.838071726292699e-07,6073.735732167969
Czech Republic,2000,7,CZE,13.525,12.43182269,,18.35985312,14.02147961,0.958,,0.178,,28476.66797,0.817,0.798253885,,,,,74.978,,18.4817,8.028287983,10.98799992,0.667,10236804.0,62175642238.0,6.838071726292699e-07,6073.735732167969
Poland,2022,1,POL,5.984,7.904286672,9.338322383,12.97117517,16.67827988,1.018,,0.08,,42129.48006,0.902,0.909584071,0.815,4.154,19.80187225,4.0590949,77.923,9.645232816,14.1275,1.959465471,13.20854242,0.785,38385739.0,695607000000.0,2.605134161934462e-08,18121.495589807455
Poland,2020,14,POL,8.107,7.870037982,9.303570117,13.63636364,15.84399033,1.014,,0.099,,36244.8415,0.88,0.884940561,0.795,4.45925,19.26413345,4.1873269,76.595,9.659090909,15.2857,1.959465471,13.15999985,0.76,38171012.0,605914000000.0,3.6677046969569474e-07,15873.668741085512
